TL,TM,TR,ML,MM,MR,BL,BM,BR,WIN,KNN Classification
2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0
0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0
0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0
0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0
0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0
0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0
0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0
0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0
0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0
0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0
0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
0.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0
0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0
0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0
0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0
0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0
0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0
0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0
0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0
0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0
1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0
1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0
1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0
1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0
1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0
1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0
1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0
1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0
1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0
1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
1.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0
1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0
1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0
1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
1.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0
2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0
2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0
2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0
2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0
2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0
2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0
2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0
2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0
2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0
2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0
2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0
0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0
0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0
0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0
1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0
1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0
1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0
1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0
2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0
2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
